"Curve number","Curve identifier","Curve type","RMSE (min-W, all Ci)","Vcmax_at_25 (min-W, all Ci)","J_at_25 (min-W, all Ci)","Tp_at_25 (min-W, all Ci)","alpha_old (min-W, all Ci)","RL_at_25 (min-W, all Ci)","RMSE (min-W, Ci above threshold)","Vcmax_at_25 (min-W, Ci above threshold)","J_at_25 (min-W, Ci above threshold)","Tp_at_25 (min-W, Ci above threshold)","alpha_old (min-W, Ci above threshold)","RL_at_25 (min-W, Ci above threshold)","RMSE (min-A, all Ci)","Vcmax_at_25 (min-A, all Ci)","J_at_25 (min-A, all Ci)","Tp_at_25 (min-A, all Ci)","alpha_old (min-A, all Ci)","RL_at_25 (min-A, all Ci)","RMSE (min-A, Ci above threshold)","Vcmax_at_25 (min-A, Ci above threshold)","J_at_25 (min-A, Ci above threshold)","Tp_at_25 (min-A, Ci above threshold)","alpha_old (min-A, Ci above threshold)","RL_at_25 (min-A, Ci above threshold)"
25,"450 - wt-5 - mcgrath2","without Ad",0.0861458144324923,58.699151212695,109.668775503071,7.45080566085488,0.500225634329668,1.34571945813758,0.0813631159183842,58.3770119283388,109.466464418383,7.4292747070855,0.509046872566226,1.30532129578038,0.507790687884262,55.6124935252239,107.167120321946,7.2840973422585,0.512910890425804,0.859938696747595,0.0813624608075755,58.372322321361,109.464620024225,7.43097254801547,0.506879523505731,1.3048581948829
26,"200 - wt-1 - ripe5","without Ad",0.293532100144186,38.1905362489351,64.3869827910069,NA,NA,1.02281528732423,0.287375756611077,37.9087320902699,64.145770489571,NA,NA,0.972250359387244,0.56101518206545,35.6675464533464,62.22733922322,NA,NA,0.631569293509777,0.287375855912415,37.9021641835667,64.1416145606309,NA,NA,0.971461598312806
27,"150 - wt-3 - mcgrath1","without Ad",0.321014920727235,27.1384809887647,43.8758751287871,NA,NA,1.01024106081565,0.31001700747669,25.7402052742489,42.8437159271903,NA,NA,0.787194096322679,0.340383376119809,25.5171116320709,42.5538783699568,NA,NA,0.749726160715442,0.310017430724766,25.7354770928796,42.8354367013871,NA,NA,0.785349366534159
28,"400 - wt-10 - ripe5","without Ad",0.215643666308454,67.3903457205314,106.716696571884,6.04848883943137,1.10967035116672,1.37487861473522,0.200224739121261,68.387100263972,107.27803577567,6.08528265875286,1.10355866425251,1.48227606132609,0.603718485342606,63.5053541551308,103.840463024097,5.89316461861885,1.13294262706755,0.907818624804595,0.200223807320996,68.3852832737469,107.269240146617,6.08375847069116,1.10529180881173,1.4813829206384
29,"600 - wt-8 - mcgrath2","without Ad",0.15950619184312,62.3822631832182,113.240971533995,7.65755025925378,0.302100599722345,1.14526251183058,0.1401205359277,63.7300255369741,114.19919608722,7.72190709336924,0.299574956424983,1.33594344413769,0.727538934604057,57.9163019767089,109.329285139443,7.43109489370623,0.311163527265445,0.472620457118928,0.140121135554179,63.7171797893228,114.187824875423,7.72020651867592,0.300642895235622,1.33441602784815
30,"300 - wt-8 - ripe5","without Ad",0.156751728610381,52.6167816383996,85.1046866866237,5.9723140858876,0.142441922213091,1.09824861255808,0.12132429146789,53.5672856527225,85.5576156688848,6.00365600016065,0.141857258434012,1.19165288050902,0.622113874635651,47.837429645336,81.6733705295011,5.7853879201143,0.149742922574898,0.548720495583762,0.121325713905461,53.5777844543792,85.5720354846164,6.00293161514671,0.14314715615256,1.19278609589995
31,"100 - wt-4 - ripe5","without Ad",0.199703100777011,20.5290378390412,33.2992502876278,NA,NA,0.967395929874321,0.163100930017976,19.1783166927512,32.4007169368828,NA,NA,0.776122962128973,0.189658833886277,19.3196809232143,32.4709394538818,NA,NA,0.797465755407119,0.16310092993976,19.1783245923218,32.4006967235703,NA,NA,0.776120988846319
32,"200 - wt-10 - mcgrath1","without Ad",0.335697387130072,35.0703791899166,57.0948269337858,NA,NA,1.20551333018556,0.297018179860654,33.4405122723105,55.78346184865,NA,NA,0.933718061461382,0.317659344064216,33.7933587381053,56.0347611296827,NA,NA,0.995058615221087,0.296963382063971,33.4327585153119,55.7860501912775,NA,NA,0.931768461751697
33,"500 - wt-10 - mcgrath1","without Ad",0.292949589737337,66.5650949981774,116.376739843082,7.32876581295141,0.63055783983718,1.20148865485225,0.253913456781776,67.3246104774356,117.0461745558,7.37399537859234,0.627043653605856,1.33565623819771,0.896221071213136,63.5246403898148,112.090008169874,7.12781526968929,0.645895353037335,0.601149409520047,0.25391350480484,67.3287519990382,117.05027221147,7.37404527978107,0.6270928208755,1.33636711630105
34,"100 - wt-8 - mcgrath1","without Ad",0.24416888421867,21.1530286987319,29.7561770831648,NA,NA,1.13107923313573,0.20362759180141,16.8728217425391,28.5825326530471,NA,NA,0.775722402387939,0.212501314584224,17.7265047276947,29.2459722852143,NA,NA,0.917619934654385,0.203627591846719,16.8728737798132,28.582593334335,NA,NA,0.775732921294796
35,"250 - wt-1 - mcgrath2","without Ad",0.192997582963255,34.2870364117598,68.8526457622263,NA,NA,1.42667342313365,0.14631179604357,33.7731299224159,68.3661814506025,NA,NA,1.3201959153891,0.159167333708024,33.8148159833421,68.3949216960834,NA,NA,1.32909885226404,0.146311796043419,33.7731297459856,68.3661827659077,NA,NA,1.32019640452758
36,"100 - wt-3-2 - mcgrath1","without Ad",0.138484411604101,20.922826021609,29.627293843828,NA,NA,0.888004169120656,0.0821486356945926,19.627469943631,28.7786876115006,NA,NA,0.70841212845443,0.127499934126718,19.9970022998291,29.0083256482857,NA,NA,0.762699007441091,0.0821461298782613,19.6329108595303,28.7739950655694,NA,NA,0.709023755841303
